price,brand,utility,weight,warranty,display_size,ppi,touch_screen,ram,ssd,graphic,core,hdmi,backlit_keyboard,battery_capacity,pixel_height,processor
25990.0,Acer,Everyday Use,lite,1.0,small,157,0,8,512,Integrated,2.0,1,0,medium,1080.0,Intel i3 11.0
34990.0,Wings,Business,medium,1.0,medium,141,0,8,512,Integrated,4.0,1,1,low,1920.0,Intel i5 11.0
49990.0,MSI,Performance,medium,2.0,medium,141,0,16,512,Integrated,8.0,1,1,medium,1080.0,Intel i5 12.0
79745.0,Acer,Gaming,heavy,1.0,medium,141,0,8,512,NVIDIA,8.0,1,1,medium,1080.0,Intel i5 13.0
35990.0,Acer,Performance,medium,1.0,medium,141,0,16,512,Integrated,6.0,1,0,low,1080.0,AMD 5 5.0
92221.0,HP,Gaming,heavy,1.0,large,137,0,16,1024,NVIDIA,8.0,1,1,high,1080.0,AMD 7 7.0
45990.0,Wings,Business,lite,1.0,small,157,0,16,512,Integrated,4.0,1,1,low,1920.0,Intel i7 11.0
37650.0,HP,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,2.0,1,0,low,1080.0,Intel i3 11.0
49990.0,Asus,Gaming,medium,1.0,large,283,0,8,512,AMD,6.0,1,1,medium,1200.0,AMD 5 5.0
28990.0,MSI,Performance,lite,1.0,small,157,0,8,512,Integrated,2.0,1,1,medium,1080.0,Intel i3 11.0
69990.0,Apple,Performance,lite,1.0,small,227,0,8,256,Integrated,8.0,0,1,medium,1600.0,Apple M1 2.0
55999.0,HP,Gaming,heavy,1.0,medium,141,1,8,512,AMD,6.0,1,1,medium,1080.0,AMD 5 5.0
85990.0,Asus,Performance,heavy,1.0,medium,141,0,16,1024,NVIDIA,14.0,1,1,very_high,1080.0,Intel i7 12.0
49990.0,Samsung,Business,medium,1.0,medium,141,0,16,512,Integrated,10.0,1,0,low,1080.0,Intel i5 12.0
67190.0,Dell,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,12.0,1,1,high,1080.0,Intel i5 12.0
45990.0,HP,Performance,medium,1.0,medium,141,0,16,512,AMD,6.0,1,1,medium,1080.0,AMD 5 5.0
34990.0,Acer,Everyday Use,lite,1.0,small,135,0,16,512,Integrated,4.0,1,0,medium,1080.0,Intel i5 11.0
59990.0,Acer,Performance,heavy,1.0,medium,141,0,16,512,NVIDIA,8.0,1,1,medium,1080.0,Intel i5 12.0
58990.0,Asus,Performance,medium,1.0,medium,141,0,16,512,Integrated,12.0,1,1,high,1080.0,Intel i5 12.0
57990.0,Asus,Gaming,heavy,1.0,medium,141,0,8,512,NVIDIA,6.0,1,1,very_high,1080.0,Intel i5 11.0
62990.0,HP,Gaming,heavy,1.0,large,137,0,16,512,NVIDIA,6.0,1,1,high,1080.0,Intel i5 11.0
44990.0,Samsung,Business,medium,1.0,medium,141,0,8,512,Integrated,10.0,1,0,low,1080.0,Intel i5 12.0
41990.0,HP,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,6.0,1,1,low,1080.0,Intel i3 12.0
79990.0,Acer,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,8.0,1,1,medium,1080.0,Intel i5 13.0
64990.0,Asus,Performance,medium,1.0,medium,141,0,16,512,Integrated,10.0,1,1,low,1080.0,Intel i7 12.0
62990.0,Acer,Performance,lite,1.0,small,243,0,16,512,Integrated,12.0,1,1,medium,1800.0,Intel i5 12.0
59990.0,Lenovo,Performance,medium,1.0,medium,141,0,16,512,Integrated,10.0,1,1,medium,1080.0,Intel i7 12.0
80980.0,Asus,Gaming,heavy,1.0,medium,141,0,16,1024,NVIDIA,8.0,1,1,very_high,1080.0,Intel i7 11.0
38490.0,HP,Performance,lite,1.0,small,157,0,8,512,Integrated,8.0,1,0,low,1080.0,Intel i3 13.0
61990.0,Asus,Everyday Use,medium,1.0,large,283,0,16,512,AMD,8.0,1,1,medium,1200.0,AMD 7 5.0
37990.0,Infinix,Performance,lite,1.0,small,157,0,16,512,Integrated,10.0,1,1,medium,1080.0,Intel i5 12.0
148990.0,Lenovo,Gaming,heavy,1.0,large,236,0,32,1024,NVIDIA,14.0,1,1,very_high,2000.0,Intel i9 13.0
71960.0,HP,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,8.0,1,1,high,1080.0,Intel i5 12.0
46990.0,Honor,Everyday Use,lite,1.0,small,162,0,16,512,Integrated,8.0,1,1,high,1200.0,Intel i5 12.0
25990.0,Wings,Business,medium,1.0,medium,141,0,8,256,Integrated,4.0,1,1,low,1920.0,Intel i3 11.0
49990.0,Acer,Performance,heavy,1.0,medium,141,0,16,512,NVIDIA,8.0,1,1,medium,1080.0,Intel i5 12.0
63990.0,MSI,Performance,medium,2.0,medium,141,0,16,256,NVIDIA,8.0,1,1,medium,1080.0,Intel i7 11.0
64990.0,MSI,Gaming,medium,2.0,medium,141,0,16,512,NVIDIA,8.0,1,1,medium,1080.0,Intel i7 11.0
37516.0,Dell,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,6.0,1,0,low,1080.0,Intel i3 12.0
53981.0,Asus,Gaming,medium,1.0,large,142,0,16,512,AMD,6.0,1,1,medium,1200.0,AMD 5 5.0
22980.0,HP,Everyday Use,lite,1.0,small,112,0,8,0,AMD,6.0,1,0,low,768.0,AMD 3045B 7.0
46990.0,Xiaomi,Everyday Use,medium,1.0,medium,242,0,16,512,Integrated,4.0,1,1,low,2000.0,Intel i5 11.0
56990.0,Lenovo,Everyday Use,lite,1.0,small,141,0,16,512,Integrated,8.0,1,1,high,1080.0,Intel i5 12.0
29990.0,Infinix,Performance,lite,1.0,small,157,0,8,512,Integrated,6.0,1,1,medium,1080.0,Intel i3 12.0
89990.0,Asus,Gaming,heavy,1.0,large,142,0,16,512,NVIDIA,10.0,1,1,high,1200.0,Intel i5 13.0
55990.0,Asus,Performance,medium,1.0,medium,141,0,8,512,Integrated,12.0,1,1,low,1080.0,Intel i5 12.0
27990.0,Acer,Performance,medium,1.0,medium,141,0,8,512,Integrated,2.0,1,0,low,1080.0,Intel i3 11.0
24990.0,Acer,Everyday Use,lite,1.0,small,157,0,8,256,Integrated,2.0,1,0,medium,1080.0,Intel i3 11.0
32990.0,Acer,Everyday Use,lite,1.0,small,135,0,8,512,Integrated,4.0,1,0,medium,1080.0,Intel i5 11.0
36850.0,HP,Everyday Use,medium,1.0,medium,100,0,8,512,AMD,6.0,1,0,low,768.0,AMD 5 5.0
36990.0,Lenovo,Performance,medium,1.0,medium,147,0,8,512,AMD,6.0,1,0,low,1080.0,AMD 5 5.0
67990.0,Dell,Gaming,heavy,1.0,medium,141,0,8,512,NVIDIA,12.0,1,1,low,1080.0,Intel i5 12.0
18990.0,Lenovo,Everyday Use,medium,1.0,small,157,0,8,256,AMD,2.0,1,0,low,1080.0,AMD 3045B 7.0
35980.0,Dell,Everyday Use,medium,1.0,medium,147,0,8,512,Integrated,2.0,1,1,medium,1080.0,Intel i3 11.0
80990.0,HP,Gaming,heavy,1.0,large,137,0,16,512,NVIDIA,8.0,1,1,high,1080.0,AMD 7 7.0
53999.0,HP,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,10.0,1,0,low,1080.0,Intel i5 12.0
58989.0,Lenovo,Everyday Use,medium,1.0,large,141,0,16,512,Integrated,8.0,1,1,high,1080.0,Intel i5 12.0
126990.0,MSI,Performance,heavy,2.0,medium,141,0,16,1024,NVIDIA,14.0,1,1,medium,1080.0,Intel i9 13.0
42999.0,Acer,Performance,medium,1.0,medium,141,0,16,512,Integrated,4.0,1,0,low,1080.0,Intel i5 11.0
84499.0,Dell,Everyday Use,medium,1.0,small,141,0,16,1024,Integrated,12.0,1,1,medium,1200.0,Intel i7 13.0
30990.0,Infinix,Everyday Use,lite,1.0,small,157,0,8,256,Integrated,2.0,1,1,medium,1080.0,Intel i3 11.0
74990.0,HP,Performance,medium,1.0,medium,141,0,16,512,Integrated,12.0,1,1,low,1080.0,Intel i5 13.0
62750.0,HP,Gaming,heavy,1.0,large,137,0,16,512,NVIDIA,6.0,1,1,high,1080.0,Intel i5 11.0
65990.0,Asus,Gaming,medium,1.0,medium,141,0,16,512,NVIDIA,6.0,1,1,medium,1080.0,AMD 5 5.0
11990.0,Primebook,Everyday Use,lite,1.0,small,135,0,4,0,Integrated,8.0,0,0,low,768.0,Mediatek MTK8788 1.0
49990.0,Acer,Gaming,medium,1.0,medium,141,0,16,512,NVIDIA,12.0,1,1,medium,1080.0,Intel i5 12.0
72990.0,Dell,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,12.0,1,1,high,1080.0,Intel i5 12.0
29990.0,Asus,Performance,medium,1.0,medium,141,0,8,256,Integrated,2.0,1,1,low,1080.0,Intel i3 11.0
144990.0,Acer,Performance,heavy,1.0,large,142,0,16,1024,NVIDIA,24.0,1,1,very_high,1200.0,Intel i9 13.0
109990.0,Asus,Performance,lite,1.0,small,243,0,16,1024,NVIDIA,14.0,1,1,high,1800.0,Intel i9 13.0
87990.0,HP,Gaming,heavy,1.0,medium,137,0,16,1024,NVIDIA,10.0,1,1,high,1080.0,Intel i7 12.0
88990.0,Asus,Gaming,heavy,1.0,large,170,0,16,512,NVIDIA,8.0,1,1,high,1080.0,AMD 7 6.0
56990.0,HP,Gaming,heavy,1.0,medium,141,0,16,512,AMD,6.0,1,1,medium,1080.0,AMD 5 5.0
48990.0,MSI,Performance,medium,2.0,medium,141,0,16,512,NVIDIA,6.0,1,1,medium,1080.0,Intel i5 11.0
93050.0,Lenovo,Gaming,heavy,1.0,medium,184,0,16,512,NVIDIA,8.0,1,1,high,1080.0,Intel i5 12.0
89999.0,Lenovo,Gaming,medium,1.0,medium,184,0,8,512,NVIDIA,8.0,1,1,high,1080.0,Intel i5 13.0
13990.0,Walker,Performance,medium,1.0,medium,156,0,4,256,Integrated,2.0,1,0,low,1080.0,Intel N4020 3.0
76990.0,Asus,Performance,heavy,1.0,medium,141,0,8,512,NVIDIA,12.0,1,1,very_high,1080.0,Intel i5 12.0
23990.0,Lenovo,Performance,medium,1.0,medium,100,0,8,512,AMD,2.0,1,1,low,768.0,AMD 7120U 7.0
23990.0,Infinix,Everyday Use,lite,1.0,small,157,0,8,512,Integrated,2.0,1,1,medium,1080.0,Intel i3 11.0
97989.0,Acer,Gaming,heavy,1.0,medium,188,0,16,1024,NVIDIA,10.0,1,1,high,1440.0,Intel i7 12.0
109990.0,Asus,Performance,heavy,1.0,medium,141,0,16,512,NVIDIA,14.0,1,1,very_high,1080.0,Intel i7 12.0
47741.0,Asus,Performance,medium,1.0,medium,141,0,8,512,Integrated,10.0,1,1,low,1080.0,Intel i5 12.0
75990.0,Asus,Performance,medium,1.0,medium,212,0,16,512,Integrated,12.0,1,1,high,1620.0,Intel i5 13.0
59990.0,MSI,Performance,heavy,1.0,medium,141,0,16,512,AMD,8.0,1,1,medium,1080.0,AMD 7 5.0
126990.0,Apple,Performance,medium,1.0,medium,224,0,8,256,Integrated,8.0,0,1,high,1864.0,Apple M2 2.0
23990.0,Infinix,Performance,medium,1.0,medium,141,0,8,512,Integrated,4.0,1,1,low,1080.0,Intel N5100 11.0
69990.0,Asus,Gaming,medium,1.0,medium,141,0,16,512,NVIDIA,8.0,1,1,medium,1080.0,AMD 7 5.0
33999.0,Acer,Everyday Use,medium,1.0,medium,141,0,8,512,AMD,4.0,1,0,low,1080.0,AMD 3 7.0
47990.0,Acer,Gaming,medium,1.0,medium,141,0,12,512,Integrated,10.0,1,1,medium,1080.0,Intel i5 12.0
59990.0,Xiaomi,Everyday Use,lite,1.0,small,215,0,16,512,Integrated,8.0,1,1,medium,1600.0,Intel i5 12.0
69990.0,Acer,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,8.0,1,1,high,1080.0,Intel i5 12.0
37990.0,Infinix,Everyday Use,lite,1.0,small,157,0,16,1024,Integrated,4.0,1,1,medium,1080.0,Intel i5 11.0
184999.0,Dell,Performance,medium,3.0,medium,145,0,16,512,NVIDIA,6.0,0,1,very_high,1200.0,Intel i7 10.0
177990.0,Lenovo,Gaming,heavy,1.0,large,236,0,16,1024,NVIDIA,14.0,1,1,very_high,2000.0,Intel i9 13.0
51487.0,Dell,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,10.0,1,1,low,1080.0,Intel i5 12.0
94990.0,Asus,Gaming,heavy,1.0,large,142,0,16,1024,NVIDIA,10.0,1,1,high,1200.0,Intel i5 13.0
25990.0,Ultimus,Performance,lite,1.0,medium,156,0,8,512,Integrated,4.0,1,0,low,1080.0,Intel i5 10.0
47990.0,Infinix,Performance,lite,1.0,small,157,0,16,512,Integrated,10.0,1,1,medium,1080.0,Intel i7 12.0
45990.0,MSI,Performance,medium,2.0,medium,141,0,8,512,NVIDIA,6.0,1,1,medium,1080.0,Intel i5 11.0
55990.0,MSI,Performance,medium,2.0,medium,141,0,16,256,NVIDIA,6.0,1,1,medium,1080.0,Intel i5 11.0
70500.0,Asus,Everyday Use,lite,1.0,small,162,1,16,1024,AMD,8.0,1,1,high,1200.0,AMD 7 5.0
65500.0,Asus,Everyday Use,lite,1.0,small,162,1,16,1024,AMD,6.0,1,1,high,1200.0,AMD 5 5.0
40500.0,Lenovo,Performance,medium,1.0,medium,141,0,4,256,Integrated,4.0,1,0,medium,1080.0,AMD 3 4.0
90000.0,Lenovo,Business,lite,1.0,small,157,0,16,512,AMD,8.0,1,0,medium,1080.0,AMD 7 4.0
36990.0,MSI,Performance,medium,1.0,medium,141,0,8,512,Integrated,4.0,1,1,medium,1080.0,Intel i5 11.0
29990.0,MSI,Performance,medium,1.0,medium,141,0,8,512,Integrated,2.0,1,1,medium,1080.0,Intel i3 11.0
62990.0,Lenovo,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,6.0,1,1,high,1080.0,AMD 5 6.0
40990.0,Lenovo,Performance,medium,1.0,medium,157,0,8,512,Integrated,6.0,1,0,low,1080.0,Intel i3 12.0
34499.0,Lenovo,Performance,medium,1.0,medium,141,0,8,512,AMD,4.0,1,1,low,1080.0,AMD 5 7.0
38990.0,MSI,Performance,lite,1.0,small,157,0,16,512,Integrated,4.0,1,1,medium,1080.0,Intel i5 11.0
85990.0,Asus,Performance,heavy,1.0,medium,141,0,16,512,NVIDIA,12.0,1,1,very_high,1080.0,Intel i5 12.0
66290.0,Lenovo,Performance,medium,1.0,medium,141,0,8,512,AMD,4.0,1,1,low,1080.0,AMD 5 7.0
67990.0,Lenovo,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,8.0,1,1,high,1080.0,Intel i5 12.0
42990.0,Asus,Everyday Use,medium,1.0,small,157,0,16,512,Integrated,2.0,1,0,low,1080.0,Intel i3 11.0
54990.0,Lenovo,Gaming,heavy,1.0,medium,141,0,8,512,NVIDIA,6.0,1,1,high,1080.0,AMD 5 6.0
52290.0,HP,Everyday Use,medium,1.0,medium,157,0,8,512,AMD,6.0,1,1,low,1080.0,AMD 5 5.0
109990.0,Asus,Performance,medium,1.0,medium,212,0,16,1024,Integrated,14.0,1,1,high,1620.0,Intel i9 13.0
48990.0,Honor,Everyday Use,medium,1.0,large,142,0,16,512,Integrated,8.0,1,1,high,1200.0,Intel i5 12.0
58990.0,Asus,Performance,lite,1.0,small,162,0,16,512,Integrated,12.0,1,1,high,1200.0,Intel i5 12.0
35990.0,MSI,Performance,lite,1.0,small,157,0,8,512,Integrated,4.0,1,1,medium,1080.0,Intel i5 11.0
569990.0,MSI,Gaming,heavy,2.0,large,255,0,64,4096,NVIDIA,24.0,1,1,very_high,2160.0,Intel i9 13.0
34990.0,Acer,Everyday Use,medium,1.0,medium,141,0,8,512,AMD,4.0,1,0,low,1080.0,AMD 5 7.0
62990.0,Acer,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,8.0,1,1,medium,1080.0,Intel i5 13.0
322490.0,Apple,Performance,heavy,1.0,large,254,0,32,1024,Integrated,12.0,1,1,very_high,2234.0,Apple M2 2.0
69990.0,Samsung,Business,lite,1.0,small,157,0,8,512,Integrated,12.0,1,1,high,1080.0,Intel i5 13.0
57990.0,Lenovo,Gaming,heavy,1.0,medium,141,0,8,512,NVIDIA,4.0,1,1,low,1080.0,AMD 5 5.0
25999.0,HP,Everyday Use,lite,1.0,small,112,0,8,512,AMD,4.0,1,0,low,768.0,AMD 3 5.0
34990.0,Honor,Performance,lite,1.0,small,141,0,8,512,AMD,6.0,1,1,medium,1080.0,AMD 5 5.0
30790.0,Lenovo,Performance,medium,1.0,medium,147,0,8,512,AMD,4.0,1,0,low,1080.0,AMD 3 5.0
61990.0,Asus,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,6.0,1,1,high,1080.0,Intel i5 11.0
94990.0,Apple,Performance,lite,1.0,small,224,0,8,256,Integrated,8.0,0,1,medium,1664.0,Apple M2 2.0
63990.0,Samsung,Performance,medium,1.0,medium,141,0,16,512,Integrated,10.0,0,1,medium,1080.0,Intel i5 12.0
11990.0,Asus,Performance,lite,1.0,small,135,0,4,0,Integrated,2.0,0,0,medium,768.0,Intel N4020 3.0
32990.0,Realme,Everyday Use,lite,1.0,small,157,0,8,256,Integrated,2.0,0,1,low,2160.0,Intel i3 11.0
44690.0,Lenovo,Business,medium,1.0,medium,141,0,8,512,Integrated,5.0,0,1,medium,1080.0,Intel i3 13.0
36990.0,Acer,Performance,medium,1.0,medium,141,0,16,512,Integrated,2.0,1,0,low,1080.0,Intel i3 11.0
94990.0,Lenovo,Performance,lite,1.0,small,243,1,16,1024,AMD,8.0,1,1,high,1800.0,AMD 7 7.0
74990.0,Asus,Performance,lite,1.0,small,323,1,16,512,Integrated,12.0,1,1,high,2400.0,Intel i5 12.0
57990.0,Acer,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,8.0,1,1,medium,1080.0,Intel i5 12.0
399999.0,Lenovo,Gaming,heavy,1.0,large,236,0,32,1024,NVIDIA,24.0,1,1,very_high,2000.0,Intel i9 13.0
34990.0,Lenovo,Performance,medium,1.0,medium,157,0,8,512,Integrated,6.0,1,0,medium,1080.0,Intel i3 12.0
56340.0,Dell,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,4.0,1,0,medium,1080.0,Intel i5 11.0
70990.0,Asus,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,8.0,1,1,very_high,1080.0,Intel i7 11.0
61990.0,Dell,Everyday Use,medium,1.0,medium,141,0,16,512,Integrated,10.0,1,1,medium,1080.0,Intel i5 12.0
48999.0,Acer,Everyday Use,medium,1.0,medium,141,0,16,512,AMD,4.0,1,0,low,1080.0,AMD 5 7.0
60990.0,Lenovo,Everyday Use,lite,1.0,small,157,0,16,1024,Integrated,8.0,1,1,high,1080.0,Intel i5 12.0
27990.0,Wings,Business,medium,1.0,medium,141,0,8,512,Integrated,4.0,1,1,low,1920.0,Intel i3 11.0
54990.0,MSI,Performance,medium,2.0,medium,141,0,16,256,NVIDIA,6.0,1,1,medium,1080.0,Intel i5 11.0
23490.0,HP,Everyday Use,medium,1.0,medium,100,0,4,256,AMD,2.0,1,0,low,768.0,AMD 3050U 3.0
131254.0,HP,Gaming,heavy,1.0,large,141,0,16,1024,NVIDIA,8.0,1,1,low,1080.0,AMD 7 7.0
51990.0,MSI,Performance,medium,2.0,medium,141,0,16,512,NVIDIA,6.0,1,1,medium,1080.0,Intel i5 12.0
89999.0,HP,Gaming,heavy,1.0,large,137,0,16,1024,NVIDIA,8.0,1,1,high,1080.0,AMD 7 7.0
44990.0,Lenovo,Everyday Use,medium,1.0,medium,141,0,16,512,AMD,4.0,1,1,medium,1080.0,AMD 5 7.0
62990.0,Dell,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,10.0,1,0,low,1080.0,Intel i5 13.0
114990.0,Lenovo,Gaming,medium,1.0,medium,184,0,16,512,NVIDIA,6.0,1,1,high,1080.0,Intel i7 13.0
36990.0,Acer,Gaming,medium,1.0,medium,141,0,16,512,Integrated,6.0,1,1,medium,1080.0,Intel i3 12.0
71989.0,Dell,Everyday Use,medium,1.0,small,141,0,16,1024,Integrated,10.0,1,1,medium,1200.0,Intel i5 13.0
62990.0,Lenovo,Gaming,heavy,1.0,medium,141,0,8,512,NVIDIA,6.0,1,1,low,1080.0,AMD 5 5.0
83990.0,HP,Business,medium,1.0,medium,141,1,16,512,Integrated,10.0,1,1,medium,1080.0,Intel i5 12.0
22490.0,Chuwi,Everyday Use,lite,1.0,small,280,0,8,512,Integrated,2.0,1,0,medium,1200.0,Intel i3 10.0
42990.0,Dell,Everyday Use,medium,1.0,medium,141,0,8,512,AMD,6.0,1,1,low,1080.0,AMD 5 5.0
89990.0,Infinix,Performance,medium,1.0,medium,141,0,32,1024,Integrated,14.0,1,1,high,1080.0,Intel i9 13.0
56000.0,Ninkear,Everyday Use,medium,1.0,large,186,0,32,2048,AMD,8.0,1,1,very_high,1600.0,AMD 7 7.0
23990.0,Ultimus,Performance,lite,1.0,medium,156,0,8,512,Integrated,2.0,1,0,low,1080.0,Intel i3 10.0
89990.0,Acer,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,10.0,1,1,high,1080.0,Intel i7 12.0
12989.0,AXL,Performance,medium,1.0,medium,156,0,4,256,Integrated,2.0,1,0,low,1080.0,Intel N4020 3.0
34990.0,Infinix,Everyday Use,lite,1.0,small,157,0,16,512,Integrated,4.0,1,1,medium,1080.0,Intel i5 11.0
36990.0,Acer,Performance,medium,1.0,medium,141,0,8,512,Integrated,6.0,1,0,medium,1080.0,Intel i3 13.0
43990.0,Xiaomi,Business,lite,1.0,small,243,0,8,512,Integrated,12.0,1,1,low,1800.0,Intel i5 12.0
89500.0,HP,Everyday Use,lite,1.0,small,157,1,16,512,Integrated,10.0,1,1,low,1080.0,Intel i7 13.0
64990.0,Acer,Performance,lite,1.0,small,243,0,16,512,Integrated,12.0,1,1,high,1800.0,Intel i5 13.0
129990.0,Acer,Performance,heavy,1.0,large,142,0,16,1024,NVIDIA,16.0,1,1,very_high,1600.0,Intel i7 13.0
114990.0,Acer,Performance,heavy,1.0,large,142,0,16,1024,NVIDIA,16.0,1,1,very_high,1200.0,Intel i7 13.0
99990.0,Acer,Performance,heavy,1.0,large,142,0,16,512,NVIDIA,14.0,1,1,very_high,1200.0,Intel i5 13.0
44990.0,HP,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,6.0,1,1,low,1080.0,Intel i3 12.0
72799.0,HP,Gaming,heavy,1.0,medium,137,0,16,512,NVIDIA,8.0,1,1,high,1080.0,Intel i5 12.0
35990.0,HP,Business,medium,1.0,medium,100,0,8,512,Integrated,2.0,1,0,low,768.0,Intel i3 11.0
75999.0,HP,Gaming,medium,1.0,medium,137,0,16,512,NVIDIA,8.0,1,1,medium,1080.0,Intel i5 12.0
69990.0,Asus,Everyday Use,lite,1.0,small,162,1,16,512,AMD,8.0,1,1,medium,1200.0,AMD 7 5.0
56990.0,Asus,Performance,lite,1.0,small,162,0,8,512,Integrated,12.0,1,1,high,1200.0,Intel i5 12.0
49990.0,Asus,Performance,medium,1.0,medium,141,0,16,512,AMD,4.0,1,1,low,1080.0,AMD 5 7.0
32990.0,Acer,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,8.0,1,0,low,1080.0,Intel N305 3.0
64990.0,Acer,Everyday Use,heavy,1.0,medium,141,0,8,512,NVIDIA,6.0,1,1,high,1080.0,AMD 5 7.0
44990.0,Asus,Performance,medium,1.0,medium,141,0,16,512,AMD,4.0,1,0,low,1080.0,AMD 5 7.0
39990.0,Asus,Performance,medium,1.0,medium,141,0,8,512,AMD,4.0,1,1,low,1080.0,AMD 3 7.0
39990.0,Lenovo,Performance,lite,1.0,small,157,0,8,512,Integrated,6.0,1,1,low,1080.0,Intel i3 12.0
308990.0,MSI,Gaming,heavy,2.0,large,255,0,32,2048,NVIDIA,14.0,1,1,high,2160.0,Intel i9 12.0
26990.0,Infinix,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,2.0,1,1,medium,1080.0,Intel i3 10.0
26990.0,Infinix,Everyday Use,medium,1.0,medium,141,0,8,256,Integrated,2.0,1,1,medium,1080.0,Intel i3 10.0
37990.0,HP,Performance,medium,1.0,medium,141,0,8,512,Integrated,2.0,1,1,low,1080.0,Intel i3 11.0
51990.0,HP,Performance,medium,1.0,medium,141,0,8,512,Integrated,4.0,1,1,low,1080.0,Intel i5 11.0
53990.0,Asus,Gaming,medium,1.0,large,283,0,16,512,AMD,6.0,1,1,medium,1920.0,AMD 5 5.0
108000.0,Dell,Everyday Use,medium,1.0,small,112,0,8,512,Integrated,10.0,1,1,high,768.0,Intel i5 12.0
44550.0,Dell,Everyday Use,medium,1.0,medium,147,0,8,512,AMD,4.0,1,0,low,1080.0,AMD 5 7.0
143000.0,HP,Everyday Use,medium,1.0,large,142,0,16,1024,Integrated,10.0,1,1,medium,1200.0,Intel i7 12.0
42990.0,Acer,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,6.0,1,1,medium,1080.0,Intel i3 13.0
354490.0,Dell,Everyday Use,heavy,1.0,large,266,1,32,1024,NVIDIA,14.0,0,1,very_high,2400.0,Intel i9 13.0
